ma,53,0.047673877
чтоб,53,0.047673877
проговорил,53,0.047673877
тебя,53,0.047673877
тех,52,0.046774365
андрея,52,0.046774365
особенно,52,0.046774365
глазами,52,0.046774365
уж,51,0.04587486
командир,51,0.04587486
продолжал,51,0.04587486
одна,51,0.04587486
вышел,51,0.04587486
кутузова,50,0.044975355
одного,50,0.044975355
закричал,50,0.044975355
ж,49,0.044075847
французов,49,0.044075847
ростова,49,0.044075847
люди,49,0.044075847
des,48,0.043176338
нельзя,48,0.043176338
котором,48,0.043176338
глядя,48,0.043176338
против,48,0.043176338
прямо,48,0.043176338
знаете,48,0.043176338
штаб,48,0.043176338
остановился,48,0.043176338
кроме,48,0.043176338
тот,47,0.042276833
много,47,0.042276833
несвицкий,47,0.042276833
говорили,47,0.042276833
армии,47,0.042276833
элен,47,0.042276833
которых,46,0.041377325
стоял,46,0.041377325
лошади,46,0.041377325
nous,45,0.040477816
обращаясь,45,0.040477816
une,45,0.040477816
анатоль,45,0.040477816
совершенно,45,0.040477816
двери,45,0.040477816
тому,45,0.040477816
соня,45,0.040477816
видеть,44,0.03957831
нынче,44,0.03957831
мост,44,0.03957831
молодой,44,0.03957831
голосом,44,0.03957831
николай,44,0.03957831
друга,44,0.03957831
этим,44,0.03957831
той,43,0.038678803
выражение,43,0.038678803
мимо,43,0.038678803
qui,43,0.038678803
можно,43,0.038678803
около,43,0.038678803
бог,43,0.038678803
хотя,43,0.038678803
комнату,43,0.038678803
нем,43,0.038678803
n,42,0.037779298
сидел,42,0.037779298
ту,42,0.037779298
qu,42,0.037779298
очевидно,42,0.037779298
должен,42,0.037779298
всю,42,0.037779298
лицом,42,0.037779298
собой,42,0.037779298
chere,42,0.037779298
полковой,42,0.037779298
двух,42,0.037779298
голоса,42,0.037779298
d,41,0.03687979
делать,41,0.03687979
полк,41,0.03687979
пьеру,41,0.03687979
княжны,41,0.03687979
знает,41,0.03687979
бонапарте,41,0.03687979
моя,41,0.03687979
маленькая,41,0.03687979
чувствовал,40,0.035980284
чувство,40,0.035980284
глаз,40,0.035980284
своими,40,0.035980284
выражением,40,0.035980284
tout,40,0.035980284
быстро,39,0.035080776
прибавил,39,0.035080776
рукой,39,0.035080776
те,39,0.035080776
du,39,0.035080776
французы,39,0.035080776
вид,39,0.035080776
никто,39,0.035080776
поехал,39,0.035080776
куда,39,0.035080776
весело,39,0.035080776
дальше,38,0.034181267
адъютант,38,0.034181267
место,38,0.034181267
эта,38,0.034181267
какой,38,0.034181267
наконец,38,0.034181267
сражения,38,0.034181267
такой,38,0.034181267
mais,37,0.033281762
сделать,37,0.033281762
руками,37,0.033281762
знать,37,0.033281762
зачем,37,0.033281762
старый,37,0.033281762
кажется,37,0.033281762
дверь,37,0.033281762
другие,37,0.033281762
жизни,37,0.033281762
en,36,0.032382254
plus,36,0.032382254
императора,36,0.032382254
своем,36,0.032382254
пошел,36,0.032382254
сторон,36,0.032382254
завтра,36,0.032382254
кого,36,0.032382254
совсем,36,0.032382254
нам,36,0.032382254
звуки,36,0.032382254
первый,36,0.032382254
таким,36,0.032382254
ростову,36,0.032382254
весь,35,0.03148275
me,35,0.03148275
кричал,35,0.03148275
si,35,0.03148275
которым,35,0.03148275
говорят,35,0.03148275
тушин,35,0.03148275
сейчас,35,0.03148275
отца,35,0.03148275
comme,35,0.03148275
головой,35,0.03148275
офицера,35,0.03148275
давно,35,0.03148275
комнате,35,0.03148275
дела,35,0.03148275
других,35,0.03148275
бориса,35,0.03148275
если,34,0.03058324
взял,34,0.03058324
гусар,34,0.03058324
сына,34,0.03058324
почти,34,0.03058324
тогда,34,0.03058324
анны,34,0.03058324
вся,34,0.03058324
свой,34,0.03058324
ведь,33,0.029683733
крикнул,33,0.029683733
войск,33,0.029683733
отец,33,0.029683733
главнокомандующего,33,0.029683733
слишком,33,0.029683733
могла,33,0.029683733
неприятеля,33,0.029683733
